CUSTOMER_ID,CHURN_PROBABILITY,CHURN_LABEL,CLIENT_TO_CONTACT,DISCOUNT
C100002,0.5780770230783707,LEAVE,YES,74.5
C100003,0.48222666836051503,STAY,NO,0.0
C100004,0.7328041814392021,LEAVE,YES,62.0
C100005,0.7862061294884295,LEAVE,YES,139.5
C100007,0.9626135485411026,LEAVE,YES,64.0
C100009,0.8742007577669375,LEAVE,YES,108.5
C100019,0.8688763577278499,LEAVE,YES,53.0
C100032,0.5925751333130511,LEAVE,YES,86.5
C100033,0.6460699720336684,LEAVE,YES,71.5
C100034,0.4174710705746143,STAY,NO,0.0
C100035,0.506797110955668,LEAVE,YES,53.3496388694585
C100039,0.8564093803301048,LEAVE,YES,93.0
C100040,0.6136497811432612,LEAVE,YES,89.0
C100042,0.4765794308739681,STAY,NO,0.0
C100046,0.20578966184145203,STAY,NO,0.0
C100047,0.6069414357467098,LEAVE,YES,76.5
C100049,0.20288906292375153,STAY,NO,0.0
C100052,0.6199465254884103,LEAVE,YES,78.0
C100054,0.32766656774755815,STAY,NO,0.0
C100055,0.3444949747146603,STAY,NO,0.0
C100057,0.7501990474586137,LEAVE,YES,80.5
C100061,0.27427263265575114,STAY,NO,0.0
C100062,0.8688578739871965,LEAVE,YES,86.0
C100066,0.6833529412597588,LEAVE,YES,49.0
C100069,0.5847406566272357,LEAVE,YES,56.07569419887764
C100072,0.8255413219483183,LEAVE,YES,83.5
C100076,0.8444378254186665,LEAVE,YES,74.0
C100085,0.7764994234544308,LEAVE,YES,98.5
C100089,0.9092367135856861,LEAVE,YES,71.5
C100095,0.8166709133294138,LEAVE,YES,91.0
C100096,0.549459771136791,LEAVE,YES,117.0
C100100,0.20111806439336508,STAY,NO,0.0
C100101,0.6462843760298557,LEAVE,YES,90.0
C100107,0.7502333237237755,LEAVE,YES,54.0
C100108,0.8059437772838455,LEAVE,YES,73.5
C100113,0.6343135762237317,LEAVE,YES,76.5
C100115,0.9158010829321482,LEAVE,YES,80.0
C100116,0.42776910615265656,STAY,NO,0.0
C100118,0.33897578255059024,STAY,NO,0.0
C100124,0.9275003882258676,LEAVE,YES,78.5
C100134,0.9285233664706354,LEAVE,YES,58.5
C100135,0.6686673290649418,LEAVE,YES,90.0
C100140,0.34573312667581935,STAY,NO,0.0
C100142,0.6028919301490712,LEAVE,YES,95.5
C100146,0.9432998046334508,LEAVE,YES,79.5
C100158,0.5651978614309853,LEAVE,YES,115.5
C100161,0.3171741316710303,STAY,NO,0.0
C100162,0.7257821311598434,LEAVE,YES,70.5
C100167,0.3105440150642837,STAY,NO,0.0
C100168,0.32622853337243274,STAY,NO,0.0
C100170,0.6287620476686986,LEAVE,YES,71.0
C100173,0.39881959289355406,STAY,NO,0.0
C100174,0.38869607506215526,STAY,NO,0.0
C100177,0.6193129898475416,LEAVE,YES,80.0
C100179,0.6693972231214607,LEAVE,YES,75.0
C100189,0.7985195616844688,LEAVE,YES,104.0
C100191,0.5237073886840405,LEAVE,YES,79.55396346497093
C100193,0.6122874249262623,LEAVE,YES,106.0
C100194,0.689029414103461,LEAVE,YES,115.5
C100196,0.887580446013441,LEAVE,YES,52.5
C100212,0.285282443447489,STAY,NO,0.0
C100217,0.31979715168375406,STAY,NO,0.0
C100228,0.5891045200356098,LEAVE,YES,72.0
C100231,0.8340252930885467,LEAVE,YES,60.5
C100235,0.6878592881337285,LEAVE,YES,41.0
C100237,0.6598942599413392,LEAVE,YES,84.0
C100240,0.682786890950697,LEAVE,YES,75.0
C100245,0.5429996773816985,LEAVE,YES,38.869970964352866
C100247,0.9303566629172838,LEAVE,YES,105.0
C100248,0.5084746517356946,LEAVE,YES,83.05086126763211
C100253,0.5254184641971797,LEAVE,YES,87.72783434067543
C100254,0.8321024466110926,LEAVE,YES,66.0
